timestamp,open,high,low,close,volume
2003-08-26,2146.517822265625,2146.517822265625,2146.517822265625,2146.517822265625,5942.0
2003-08-27,2146.5178593273404,2165.59814453125,2146.5178593273404,2165.59814453125,1641.0
2003-08-28,2165.5981030292505,2222.838585619501,2165.5981030292505,2203.75830078125,684.0
2003-08-29,2203.75830078125,2203.75830078125,2184.6782019052503,2203.75830078125,469.0
2003-09-02,2184.678466796875,2184.678466796875,2146.5180784556887,2184.678466796875,2652.0
2003-09-03,2184.678243772905,2184.678243772905,2165.59814453125,2165.59814453125,1585.0
2003-09-04,2184.6782019052503,2222.838585619501,2184.6782019052503,2203.75830078125,344.0
2003-09-05,2218.068603515625,2253.8440235479816,2206.1435874796807,2218.068603515625,390.0
2003-09-08,2241.91845703125,2265.768671187541,2237.148525777331,2241.91845703125,713.0
2003-09-09,2241.918821549775,2241.918821549775,2206.1435874796807,2218.068603515625,65.0
2003-09-10,2218.0681010436947,2218.0681010436947,2158.442662446749,2170.36767578125,149.0
2003-09-11,2182.2935122089243,2182.2935122089243,2170.368309430584,2175.138427734375,125.0
2003-09-12,2194.2183854814743,2218.068603515625,2172.753319424323,2218.068603515625,193.0
2003-09-15,2210.9137992417377,2210.9137992417377,2182.293645556992,2189.44873046875,272.0
2003-09-16,2182.293645556992,2194.218663101731,2182.293645556992,2189.44873046875,130.0
2003-09-17,2189.4482963838,2189.4482963838,2172.753163553808,2182.293212890625,66.0
2003-09-18,2182.2935122089243,2182.2935122089243,2163.213224956034,2175.138427734375,391.0
2003-09-19,2182.293246355425,2206.1434630443273,2182.293246355425,2194.21826171875,331.0
2003-09-22,2191.8340842823327,2201.374137197179,2182.2940313674862,2187.06396484375,108.0
2003-09-23,2187.0625204198464,2265.7682304209757,2182.2925900938358,2234.762939453125,882.0
2003-09-24,2222.8385961303334,2229.9936797332293,2194.21826171875,2194.21826171875,92.0
2003-09-25,2194.218529024991,2194.218529024991,2170.368309430584,2175.138427734375,114.0
2003-09-26,2175.137993081272,2175.137993081272,2110.742431640625,2110.742431640625,679.0
2003-09-29,2134.59326171875,2136.97822810034,2120.283091504628,2134.59326171875,539.0
2003-09-30,2134.592188360634,2146.517200234503,2134.592188360634,2139.3623046875,329.0
2003-10-01,2146.517924222867,2167.9831759903773,2146.517924222867,2148.903076171875,359.0
2003-10-02,2158.442190195108,2163.2121201003943,2139.3620986496053,2151.287109375,113.0
2003-10-03,2146.5174631500277,2170.36767578125,2146.5174631500277,2170.36767578125,83.0
2003-10-06,2170.3680450298475,2206.1434630443273,2170.3680450298475,2194.21826171875,803.0
2003-10-07,2194.2190510204646,2215.684309550608,2182.2940313674862,2187.06396484375,248.0
2003-10-08,2187.0631140874607,2241.918629462213,2187.0631140874607,2210.913330078125,105.0
2003-10-09,2196.6034135612167,2225.223562010548,2182.293246355425,2194.21826171875,1057.0
2003-10-10,2201.373345321646,2203.7583112018606,2182.293246355425,2194.21826171875,140.0
2003-10-13,2182.293212890625,2194.218228071084,2182.293212890625,2182.293212890625,65.0
2003-10-14,2194.21826171875,2194.21826171875,2182.293246355425,2194.21826171875,145.0
2003-10-15,2198.9883690433758,2208.5284184813754,2184.6782019052503,2203.75830078125,300.0
2003-10-16,2206.143653290281,2229.9938720358973,2191.833484850457,2201.37353515625,282.0
2003-10-17,2206.1435546875,2213.298638587618,2194.21835286655,2206.1435546875,89.0
2003-10-20,2194.2193666040357,2229.9948026330094,2194.2193666040357,2208.529541015625,179.0
2003-10-21,2206.1435546875,2213.298638587618,2194.21835286655,2206.1435546875,408.0
2003-10-22,2194.2183854814743,2225.223687522096,2191.833419466738,2218.068603515625,272.0
2003-10-23,2213.298546647223,2225.223562010548,2194.21826171875,2194.21826171875,739.0
2003-10-24,2194.218801062301,2203.7588528903757,2146.518355959627,2156.05859375,370.0
2003-10-27,2167.9829005216784,2187.062997915821,2151.2877688112444,2177.52294921875,73.0
2003-10-28,2170.36767578125,2175.137792692383,2158.442662446749,2170.36767578125,105.0
2003-10-29,2170.3680450298475,2194.21826171875,2170.3680450298475,2194.21826171875,110.0
2003-10-30,2182.293645556992,2189.44873046875,2175.138560645234,2189.44873046875,56.0
2003-10-31,2182.293212890625,2206.1434292137915,2182.293212890625,2182.293212890625,217.0
2003-11-03,2182.2928750779715,2203.7579362725173,2170.36767578125,2170.36767578125,60.0
2003-11-04,2170.3683870993264,2206.143810752333,2170.3683870993264,2196.603759765625,48.0
2003-11-05,2194.2184509363383,2203.7585012421314,2182.293434544664,2201.37353515625,26.0
2003-11-06,2201.373469487946,2218.068603515625,2184.6783354602667,2218.068603515625,87.0
2003-11-07,2210.9135195091535,2229.9938055138314,2194.2183854814743,2218.068603515625,413.0
2003-11-10,2218.0681553505315,2237.1484375,2218.0681553505315,2237.1484375,97.0
2003-11-11,2229.9938720358973,2229.9938720358973,2201.37353515625,2201.37353515625,24.0
2003-11-12,2218.0682711584923,2229.993471369817,2206.143256909402,2213.29833984375,47.0
2003-11-13,2206.1426028002065,2253.843017578125,2206.1426028002065,2253.843017578125,106.0
2003-11-14,2229.9934429342206,2253.8436570905114,2229.9934429342206,2241.91845703125,18.0
2003-11-17,2229.9933459752156,2258.6134901410355,2229.9933459752156,2246.6884765625,1.0
2003-11-18,2229.9937506869564,2249.073850260266,2222.838666856401,2225.2236328125,13.0
2003-11-19,2218.06893683474,2229.994140625,2218.06893683474,2229.994140625,22.0
2003-11-20,2218.0683153142245,2225.2233983910105,2206.1433008277395,2215.683349609375,15.0
2003-11-21,2210.913743264546,2239.5340821869513,2196.603759765625,2196.603759765625,33.0
2003-11-24,2196.6032520461035,2253.843730698156,2191.8331346741666,2215.683349609375,115.0
2003-11-25,2237.1484375,2237.1484375,2206.14314172406,2237.1484375,32.0
2003-11-26,2241.9183595537515,2265.768572673047,2234.76327702174,2246.6884765625,28.0
2003-11-28,2265.76953125,2265.76953125,2256.229479158626,2265.76953125,13.0
2003-12-01,2277.694641160532,2320.6251562357656,2260.999502840933,2308.699951171875,328.0
2003-12-02,2308.699518097445,2337.319856112225,2301.54443359375,2301.54443359375,140.0
2003-12-03,2313.46960412423,2313.46960412423,2289.619384765625,2289.619384765625,39.0
2003-12-04,2289.619384765625,2308.6994858676,2265.76916540702,2289.619384765625,55.0
2003-12-05,2282.4638230703276,2292.0038716263725,2268.153657255143,2280.078857421875,20.0
2003-12-08,2270.5397412769694,2308.699951171875,2270.5397412769694,2308.699951171875,79.0
2003-12-09,2308.699757474557,2308.699757474557,2265.7694319634393,2270.53955078125,192.0
2003-12-10,2265.769380071199,2265.769380071199,2215.683970461604,2229.994140625,503.0
2003-12-11,2232.3787166430557,2232.3787166430557,2215.683583025845,2225.2236328125,71.0
2003-12-12,2229.9933928355636,2306.31396484375,2227.6082412999567,2306.31396484375,177.0
2003-12-15,2311.08447265625,2325.3944544779465,2289.619220980316,2311.08447265625,165.0
2003-12-16,2311.084081952736,2330.164178464226,2303.9289992703707,2306.31396484375,325.0
2003-12-17,2301.5447730832284,2325.394996292815,2256.229479158626,2265.76953125,281.0
2003-12-18,2241.9189225356336,2275.3091920950355,2218.0687034271646,2260.9990234375,42.0
2003-12-19,2265.768745184641,2265.768745184641,2213.2983839045255,2215.683349609375,90.0
2003-12-22,2218.06831545442,2218.06831545442,2151.2877880165115,2158.44287109375,317.0
2003-12-23,2148.9034403135856,2179.9087472443407,2148.9034403135856,2172.753662109375,380.0
2003-12-24,2172.753163553808,2182.293212890625,2151.2879130742836,2182.293212890625,125.0
2003-12-26,2194.21826171875,2194.21826171875,2187.063178115854,2194.21826171875,58.0
2003-12-29,2198.9887816969986,2198.9887816969986,2182.293645556992,2189.44873046875,97.0
2003-12-30,2213.2983116210403,2265.768671187541,2206.14322877793,2241.91845703125,181.0
2003-12-31,2241.9184128455795,2253.843612669809,2229.9933989835786,2239.533447265625,219.0
2004-01-02,2241.9184128455795,2241.9184128455795,2237.1484816856705,2239.533447265625,52.0
2004-01-05,2241.91845703125,2241.91845703125,2225.2233257180696,2241.91845703125,172.0
2004-01-06,2237.1484285072265,2253.843559094511,2234.76327702174,2246.6884765625,53.0
2004-01-07,2241.91861922286,2270.53895266584,2196.6033392211357,2220.453369140625,103.0
2004-01-08,2218.068199159349,2239.533447265625,2218.068199159349,2239.533447265625,15.0
2004-01-09,2215.6828462246917,2237.148090578326,2208.5277647734806,2234.762939453125,38.0
